"","from_account","to_account","from_party","to_party"
"83","konstantinkuhle","peteraltmaier","FDP","CDU"
"84","konstantinkuhle","hubertus_heil","FDP","SPD"
"85","konstantinkuhle","christianduerr","FDP","FDP"
"86","konstantinkuhle","johannesvogel","FDP","FDP"
"87","petrbystronafd","nouripour","AfD","DIE GRÜNEN"
"88","petrbystronafd","petertauber","AfD","CDU"
"89","petrbystronafd","sigmargabriel","AfD","SPD"
"90","petrbystronafd","cem_oezdemir","AfD","DIE GRÜNEN"
"91","petrbystronafd","peteraltmaier","AfD","CDU"
"92","petrbystronafd","katarinabarley","AfD","SPD"
"93","petrbystronafd","c_lindner","AfD","FDP"
"94","petrbystronafd","oezoguz","AfD","SPD"
"95","petrbystronafd","h_weyel","AfD","AfD"
"96","petrbystronafd","axelgehrke","AfD","AfD"
"97","petrbystronafd","mrosek1958","AfD","AfD"
"98","mtodtenhausen","katarinabarley","FDP","SPD"
"99","mtodtenhausen","busen_mdb","FDP","FDP"
"100","mtodtenhausen","rbrinkhaus","FDP","CDU"
"101","mtodtenhausen","crueffer","FDP","DIE GRÜNEN"
"102","mtodtenhausen","mvabercron","FDP","CDU"
"103","mtodtenhausen","katjakipping","FDP","DIE LINKE"
"104","mtodtenhausen","starkwatzinger","FDP","FDP"
"105","mtodtenhausen","th_sattelberger","FDP","FDP"
"106","mtodtenhausen","muellerboehm","FDP","FDP"
"107","mtodtenhausen","koehler_fdp","FDP","FDP"
"108","mtodtenhausen","helgelindh","FDP","SPD"
"109","mtodtenhausen","cem_oezdemir","FDP","DIE GRÜNEN"
"110","mtodtenhausen","sigmargabriel","FDP","SPD"
"111","mtodtenhausen","c_jung77","FDP","FDP"
"112","mtodtenhausen","nicolabeerfdp","FDP","FDP"
"113","mtodtenhausen","franksitta","FDP","FDP"
"114","mtodtenhausen","ruppert_stefan","FDP","FDP"
"115","mtodtenhausen","groehe","FDP","CDU"
"116","mtodtenhausen","petertauber","FDP","CDU"
"117","mtodtenhausen","berlinliebich","FDP","DIE LINKE"
"118","mtodtenhausen","bstrasser","FDP","FDP"
"119","mtodtenhausen","peteraltmaier","FDP","CDU"
"120","mtodtenhausen","juergenhardt","FDP","CDU"
"121","mtodtenhausen","hacker_fdp","FDP","FDP"
"122","mtodtenhausen","fdp_hessel","FDP","FDP"
"123","mtodtenhausen","torstenherbst","FDP","FDP"
"124","mtodtenhausen","c_lindner","FDP","FDP"
"125","mtodtenhausen","christianduerr","FDP","FDP"
"126","mtodtenhausen","jimmyschulz","FDP","FDP"
"127","mtodtenhausen","solms","FDP","FDP"
"128","mtodtenhausen","johannesvogel","FDP","FDP"
"129","mtodtenhausen","f_schaeffler","FDP","FDP"
"130","norbert_mdb","sven_kindler","DIE LINKE","DIE GRÜNEN"
"131","norbert_mdb","katjadoerner","DIE LINKE","DIE GRÜNEN"
"132","norbert_mdb","svenlehmann","DIE LINKE","DIE GRÜNEN"
"133","norbert_mdb","victorperli","DIE LINKE","DIE LINKE"
"134","norbert_mdb","julia_verlinden","DIE LINKE","DIE GRÜNEN"
"135","norbert_mdb","anked","DIE LINKE","DIE LINKE"
"136","norbert_mdb","lgbeutin","DIE LINKE","DIE LINKE"
"137","norbert_mdb","jankortemdb","DIE LINKE","DIE LINKE"
"138","norbert_mdb","ch_buchholz","DIE LINKE","DIE LINKE"
"139","norbert_mdb","pascalmeiser","DIE LINKE","DIE LINKE"
"140","norbert_mdb","tpflueger","DIE LINKE","DIE LINKE"
"141","norbert_mdb","ernst_klaus","DIE LINKE","DIE LINKE"
"142","norbert_mdb","voglerk","DIE LINKE","DIE LINKE"
"143","norbert_mdb","b_riexinger","DIE LINKE","DIE LINKE"
"144","norbert_mdb","katjakipping","DIE LINKE","DIE LINKE"
"145","norbert_mdb","berlinliebich","DIE LINKE","DIE LINKE"
"146","steffenkotre","ulschzi","AfD","AfD"
"147","steffenkotre","ttte94","AfD","AfD"
"148","steffenkotre","axelgehrke","AfD","AfD"
"149","steffenkotre","mrosek1958","AfD","AfD"
"150","steffenkotre","h_weyel","AfD","AfD"
"151","steffenkotre","uwe_kamann","AfD","Parteilos"
"152","torstenherbst","fdp_hessel","FDP","FDP"
"153","torstenherbst","stephankuehn","FDP","DIE GRÜNEN"
