"","twitter_name","party","personal.first_name","personal.last_name"
"64","janmetzler","CDU","Jan","Metzler"
"65","hildemattheis","SPD","Hilde","Mattheis"
"66","loetzschmdb","DIE LINKE","Gesine","Lötzsch"
"67","kleikert","CDU","Katja","Leikert"
"68","markuskurthmdb","DIE GRÜNEN","Markus","Kurth"
"69","babetteschefin","DIE GRÜNEN","Sylvia","Kotting-Uhl"
"70","jankortemdb","DIE LINKE","Jan","Korte"
"71","volkmarklein","CDU","Volkmar","Klein"
"72","sven_kindler","DIE GRÜNEN","Sven-Christian","Kindler"
"73","kaczmarekoliver","SPD","Oliver","Kaczmarek"
"74","heikehaensel","DIE LINKE","Heike","Hänsel"
"75",NA,"CDU","Stephan","Harbarth"
"76","juergenhardt","CDU","Jürgen","Hardt"
"77","thomashitschler","SPD","Thomas","Hitschler"
"78","christianhirte","CDU","Christian","Hirte"
"79","ullajelpke","DIE LINKE","Ulla","Jelpke"
"80",NA,"CDU","Andreas","Jung"
"81",NA,"CDU","Ursula","Groden-Kranich"
"82","groehe","CDU","Hermann","Gröhe"
"83",NA,"CDU","Klaus-Dieter","Gröhler"
"84",NA,"CDU","Hans-Joachim","Fuchtel"
"85","agnieszka_mdb","DIE GRÜNEN","Agnieszka","Brugger"
"86","ch_buchholz","DIE LINKE","Christine","Buchholz"
"87","brunnerganzohr","SPD","Karl-Heinz","Brunner"
"88",NA,"CDU","Michael","Brand"
"89","mwbirkwald","DIE LINKE","Matthias W.","Birkwald"
"90","mdb_ulrike_bahr","SPD","Ulrike","Bahr"
"91","soerenbartol","SPD","Sören","Bartol"
"92","matthiasbartke","SPD","Matthias","Bartke"
"93","goeringeckardt","DIE GRÜNEN","Katrin","Göring-Eckardt"
"94","thlutze","DIE LINKE","Thomas","Lutze"
"95",NA,"SPD","Sascha","Raabe"
"96","martinarenner","DIE LINKE","Martina","Renner"
"97","matthiaszimmer","CDU","Matthias","Zimmer"
"98",NA,"DIE LINKE","Sabine","Zimmermann"
"99","markustressel","DIE GRÜNEN","Markus","Tressel"
"100",NA,"DIE LINKE","Pia","Zimmermann"
"101",NA,"SPD","Stefan","Zierke"
"102","zieglermdb","SPD","Dagmar","Ziegler"
"103",NA,"CSU","Emmi","Zeulner"
"104","zdebelhubertus","DIE LINKE","Hubertus","Zdebel"
"105",NA,"SPD","Gülistan","Yüksel"
"106","dirkwiese4","SPD","Dirk","Wiese"
"107",NA,"CDU","Klaus-Peter","Willsch"
"108",NA,"CDU","Elisabeth","Winkelmeier-Becker"
"109",NA,"CDU","Oliver","Wittke"
"110","anjaweisgerber","CSU","Anja","Weisgerber"
"111",NA,"CDU","Sabine","Weiss"
"112",NA,"CDU","Peter","Weiß"
"113","wellenreuther","CDU","Ingo","Wellenreuther"
"114","mdbwendt","CDU","Marian","Wendt"
"115",NA,"SPD","Bernd","Westphal"
"116","gabiweberspd","SPD","Gabi","Weber"
"117","kaiwegner","CDU","Kai","Wegner"
"118",NA,"CDU","Albert","Weiler"
"119","haraldweinberg","DIE LINKE","Harald","Weinberg"
"120","marcusweinberg","CDU","Marcus","Weinberg"
"121","wanderwitz","CDU","Marco","Wanderwitz"
"122","swagenknecht","DIE LINKE","Sahra","Wagenknecht"
"123","beatewaro","DIE GRÜNEN","Beate","Walter-Rosenheimer"
"124",NA,"SPD","Dirk","Vöpel"
"125",NA,"CDU","Christian","von Stetten"
"126",NA,"CDU","Ursula","von der Leyen"
"127",NA,"CDU","Hans-Georg","von der Marwitz"
"128",NA,"CDU","Matern","von Marschall"
"129",NA,"CDU","Oswin","Veith"
"130","julia_verlinden","DIE GRÜNEN","Julia","Verlinden"
"131",NA,"CDU","Volkmar","Vogel"
"132","voglerk","DIE LINKE","Kathrin","Vogler"
"133","utevogt","SPD","Ute","Vogt"
"134",NA,"CDU","Arnold","Vaatz"
"135","volkerullrich","CSU","Volker","Ullrich"
"136","jtrittin","DIE GRÜNEN","Jürgen","Trittin"
"137",NA,"CDU","Antje","Tillmann"
"138","michael_thews","SPD","Michael","Thews"
"139",NA,"CDU","Michael","Stübgen"
"140","kerstin_tack","SPD","Kerstin","Tack"
"141","kirstentackmann","DIE LINKE","Kirsten","Tackmann"
"142","petertauber","CDU","Peter","Tauber"
"143",NA,"SPD","Claudia","Tausend"
"144",NA,"CDU","Karin","Strenz"
"145",NA,"CSU","Max","Straubinger"
"146",NA,"CSU","Stephan","Stracke"
"147","gero_storjohann","CDU","Gero","Storjohann"
"148",NA,"CDU","Dieter","Stier"
"149",NA,"CDU","Albert","Stegemann"
"150","peter_stein_cdu","CDU","Peter","Stein"
"151","steinekecdu","CDU","Sebastian","Steineke"
"152",NA,"DIE LINKE","Kersten","Steinke"
"153","steffensonja","SPD","Sonja","Steffen"
"154",NA,"CSU","Wolfgang","Stefinger"
"155",NA,"CDU","Frank","Steffel"
"156","stamm_fibich","SPD","Martina","Stamm-Fibich"
"157",NA,"CDU","Tino","Sorge"
"158",NA,"CDU","Jens","Spahn"
"159",NA,"SPD","Rainer","Spiering"
