"","twitter_name","party","personal.first_name","personal.last_name"
"534",NA,"SPD","Katrin","Budde"
"535",NA,"DIE LINKE","Matthias","Höhn"
"536",NA,"CDU","Elisabeth","Motschmann"
"537",NA,"FDP","Christian","Sauter"
"538",NA,"CDU","Petra","Nicolaisen"
"539","nikolasloebel","CDU","Nikolas","Löbel"
"540","lindateuteberg","FDP","Linda","Teuteberg"
"541","margaretebause","DIE GRÜNEN","Margarete","Bause"
"542",NA,"FDP","Karsten","Klein"
"543","fdp_hessel","FDP","Katja","Hessel"
"544","hacker_fdp","FDP","Thomas","Hacker"
"545","christophfdp","FDP","Christoph","Meyer"
"546",NA,"DIE GRÜNEN","Bettina","Hoffmann"
"547",NA,"CDU","Hans-Jürgen","Irmer"
"548","nicolabeerfdp","FDP","Nicola","Beer"
"549","peterheidtfdp","FDP","Peter","Heidt"
"550","timon_gremmels","SPD","Timon","Gremmels"
"551","achimkessler","DIE LINKE","Achim","Kessler"
"552","christianduerr","FDP","Christian","Dürr"
"553",NA,"FDP","Gero","Hocker"
"554","filizgreen","DIE GRÜNEN","Filiz","Polat"
"555","owvonholtz","DIE GRÜNEN","Ottmar","von Holtz"
"556","victorperli","DIE LINKE","Victor","Perli"
"557",NA,"FDP","Jens","Beeck"
"558","toens_nrw04","SPD","Markus","Töns"
"559","busen_mdb","FDP","Karlheinz","Busen"
"560","reutherbernd","FDP","Bernd","Reuther"
"561","mastrackzi","FDP","Marie-Agnes","Strack-Zimmermann"
"562","katrin_werner","DIE LINKE","Katrin","Werner"
"563","heikomaas","SPD","Heiko","Maas"
"564",NA,"CDU","Markus","Uhl"
"565",NA,"CDU","Astrid","Damerow"
"566","mvabercron","CDU","Michael","von Abercron"
"567",NA,"DIE GRÜNEN","Luise","Amtsberg"
"568","matschie","SPD","Christoph","Matschie"
"569",NA,"SPD","Uwe","Schmidt"
"570","gottfriedcurio","AfD","Gottfried","Curio"
"571","dfoest","FDP","Daniel","Föst"
"572",NA,"FDP","Nicole","Bauer"
"573",NA,"FDP","Ulrich","Lechte"
"574",NA,"AfD","Dietmar","Friedhoff"
"575",NA,"AfD","Jens","Kestner"
"576","springerren","AfD","René","Springer"
"577","buettnersdl","AfD","Matthias","Büttner"
"578","frank_pasemann","AfD","Frank","Pasemann"
"579","mrosek1958","AfD","Andreas","Mrosek"
"580","mdb_lucassen","AfD","Rüdiger","Lucassen"
"581","r_hartwig_afd","AfD","Roland","Hartwig"
"582","schneider_afd","AfD","Jörg","Schneider"
"583","udohemmelgarn","AfD","Udo","Hemmelgarn"
"584",NA,"AfD","Karsten","Hilse"
"585","tino_chrupalla","AfD","Tino","Chrupalla"
"586","jensmaierafd","AfD","Jens","Maier"
"587",NA,"AfD","Heiko","Heßenkemper"
"588",NA,"AfD","Ulrich","Oehme"
"589",NA,"AfD","Jan R.","Nolte"
"590",NA,"AfD","Albrecht","Glaser"
"591",NA,"AfD","Uwe","Schulz"
"592","m_harderkuehnel","AfD","Mariana","Harder-Kühnel"
"593","buergerwohl","AfD","Jürgen","Pohl"
"594",NA,"AfD","Robby","Schlund"
"595","andreasbleckmdb","AfD","Andreas","Bleck"
"596",NA,"AfD","Nicole","Höchst"
"597","s_muenzenmaier","AfD","Sebastian","Münzenmaier"
"598",NA,"AfD","Heiko","Wildberg"
"599",NA,"AfD","Johannes","Huber"
"600",NA,"AfD","Wolfgang","Wiehle"
"601","ttte94","AfD","Gerold","Otten"
"602",NA,"AfD","Martin","Hebner"
"603",NA,"AfD","Hansjörg","Müller"
"604","peterboehringer","AfD","Peter","Boehringer"
"605","podolay1","AfD","Paul","Podolay"
"606",NA,"AfD","Martin","Sichert"
"607",NA,"AfD","Rainer","Kraft"
"608",NA,"AfD","Peter","Felser"
"609","dirkspaniel","AfD","Dirk","Spaniel"
"610","profmaier","AfD","Lothar","Maier"
"611",NA,"AfD","Jürgen","Braun"
"612","martin_hess_afd","AfD","Martin","Hess"
"613",NA,"CDU","Melanie","Bernstein"
"614",NA,"CDU","Claudia","Schmidtke"
"615",NA,"CDU","Philipp","Amthor"
"616",NA,"CDU","Silvia","Breher"
"617","dr_tiemann","CDU","Dietlind","Tiemann"
"618",NA,"CDU","Eckhard","Gnodtke"
"619",NA,"CDU","Sepp","Müller"
"620","c_bernstiel","CDU","Christoph","Bernstiel"
"621",NA,"CDU","Torsten","Schweiger"
"622",NA,"CDU","Carsten","Brodesser"
"623",NA,"CDU","Hermann-Josef","Tebroke"
"624","stefanrouenhoff","CDU","Stefan","Rouenhoff"
"625",NA,"CDU","Marc","Henrichmann"
"626",NA,"CDU","Kerstin","Vieregge"
"627","paulziemiak","CDU","Paul","Ziemiak"
"628",NA,"CDU","Hans-Jürgen","Thies"
"629","ingmar_jung","CDU","Ingmar","Jung"
"630",NA,"CDU","Norbert","Altenkamp"
"631",NA,"CDU","Bettina","Wiesmann"
"632",NA,"CDU","Stefan","Sauer"
"633",NA,"CDU","Björn","Simon"
"634",NA,"CDU","Astrid","Mannes"
"635","josefoster","CDU","Josef","Oster"
"636","andreassteier","CDU","Andreas","Steier"
"637","torbjoernkartes","CDU","Torbjörn","Kartes"
"638","mbiadaczmdb","CDU","Marc","Biadacz"
"639",NA,"CDU","Axel Eduard","Fischer"
"640",NA,"CDU","Axel","Müller"
"641","katrin_staffler","CSU","Katrin","Staffler"
"642",NA,"CSU","Bernhard","Loos"
"643",NA,"CSU","Michael","Kuffer"
"644","stephpilsinger","CSU","Stephan","Pilsinger"
"645",NA,"CSU","Michael","Kießling"
"646",NA,"CSU","Thomas","Erndl"
"647",NA,"CSU","Sebastian","Brehm"
"648","svenlehmann","DIE GRÜNEN","Sven","Lehmann"
"649",NA,"DIE GRÜNEN","Manuela","Rottmann"
"650","annachristmann","DIE GRÜNEN","Anna","Christmann"
"651",NA,"DIE GRÜNEN","Gerhard","Zickenheiner"
"652","lgbeutin","DIE LINKE","Lorenz","Gösta Beutin"
"653",NA,"DIE LINKE","Amira","Mohamed Ali"
"654",NA,"DIE LINKE","Friedrich","Straetmanns"
"655",NA,"DIE LINKE","Sylvia","Gabelmann"
"656","linkepelli","DIE LINKE","Sören","Pellmann"
"657",NA,"DIE LINKE","Jörg","Cezanne"
"658",NA,"DIE LINKE","Eva-Maria","Schreiber"
"659","sbarrientosk","DIE LINKE","Simone","Barrientos"
"660",NA,"DIE LINKE","Susanne","Ferschl"
"661","doris_achelwilm","DIE LINKE","Doris","Achelwilm"
"662",NA,"FDP","Ulla","Ihnen"
"663",NA,"FDP","Grigorios","Aggelidis"
"664","franksitta","FDP","Frank","Sitta"
"665",NA,"FDP","Katharina","Willkomm"
"666",NA,"FDP","Markus","Herbrand"
"667","houbenreinhard","FDP","Reinhard Arnold","Houben"
"668",NA,"FDP","Nicole","Westig"
"669","muellerboehm","FDP","Roman","Müller-Böhm"
"670",NA,"FDP","Olaf","in der Beek"
"671",NA,"FDP","Carl-Julius","Cronenberg"
"672",NA,"FDP","Frank","Müller-Rosentritt"
"673","g_ullrichfdp","FDP","Gerald","Ullrich"
"674","carinak","FDP","Carina","Konrad"
"675","brafdp","FDP","Mario","Brandenburg"
"676","th_sattelberger","FDP","Thomas","Sattelberger"
"677","koehler_fdp","FDP","Lukas","Köhler"
"678","ullmannmdb","FDP","Andrew","Ullmann"
"679","c_jung77","FDP","Christian","Jung"
"680",NA,"FDP","Christoph","Hoffmann"
"681","stonie_kiel","SPD","Mathias","Stein"
"682",NA,"SPD","Siemtje","Möller"
"683",NA,"SPD","Marja-Liisa","Völlers"
"684",NA,"SPD","Falko","Mohrs"
"685","manjaschuele","SPD","Manja","Schüle"
"686",NA,"SPD","Claudia","Moll"
"687","helgelindh","SPD","Helge","Lindh"
"688","korkmazgt","SPD","Elvan","Korkmaz"
"689",NA,"SPD","Wiebke","Esdar"
"690",NA,"SPD","Nezahat","Baradari"
"691",NA,"SPD","Esther","Dilcher"
"692","lier_e","SPD","Elisabeth","Kaiser"
"693","lenibreymaier","SPD","Leni","Breymaier"
"694","joloulou","SPD","Josephine","Ortleb"
"695",NA,"AfD","Fabian","Jacobi"
"696","jochen_haug","AfD","Jochen","Haug"
"697","elsnervongronow","AfD","Berengar","Elsner von Gronow"
"698",NA,"AfD","Bruno","Hollnagel"
"699","uwe_kamann","Parteilos","Uwe","Kamann"
"700",NA,"SPD","Yasmin","Fahimi"
"701","stefankeuterafd","AfD","Stefan","Keuter"
"702","espendillerm","AfD","Michael","Espendiller"
"703",NA,"AfD","Franziska","Gminder"
"704","corinnamiazga","AfD","Corinna","Miazga"
"705","gtzfrmming","AfD","Götz","Frömming"
"706",NA,"AfD","Birgit","Malsack-Winkemann"
"707",NA,"AfD","Roman","Reusch"
"708","nkleinwaechter","AfD","Norbert","Kleinwächter"
"709","joanacotar","AfD","Joana","Cotar"
"710",NA,"AfD","Wilhelm","von Gottberg"
"711","h_weyel","AfD","Harald","Weyel"
"712","witt_uwe","AfD","Uwe","Witt"
"713","chrwirthmdb","AfD","Christian","Wirth"
"714",NA,"AfD","Verena","Hartmann"
"715","m_reichardt_afd","AfD","Martin","Reichardt"
"716",NA,"AfD","Marcus","Bühl"
"717","drfriesenmdb","AfD","Anton","Friesen"
"718","gydej","FDP","Gyde","Jensen"
