"","mp_names","mp_parties","mp_url","mp_url_full","interventions","interventions_com"
"210","Elizabeth May","Green Party","/Members/en/elizabeth-may(2897)","https://www.ourcommons.ca/Members/en/elizabeth-may(2897)","589 in the current session","84 in the current session"
"211","Dan Mazier","Conservative","/Members/en/dan-mazier(3306)","https://www.ourcommons.ca/Members/en/dan-mazier(3306)","67 in the current session","212 in the current session"
"212","Kelly McCauley","Conservative","/Members/en/kelly-mccauley(89179)","https://www.ourcommons.ca/Members/en/kelly-mccauley(89179)","165 in the current session","767 in the current session"
"213","Ken McDonald","Liberal","/Members/en/ken-mcdonald(88283)","https://www.ourcommons.ca/Members/en/ken-mcdonald(88283)","34 in the current session","1186 in the current session"
"214","David J. McGuinty","Liberal","/Members/en/david-j-mcguinty(9486)","https://www.ourcommons.ca/Members/en/david-j-mcguinty(9486)","16 in the current session","None in the current session"
"215","John McKay","Liberal","/Members/en/john-mckay(957)","https://www.ourcommons.ca/Members/en/john-mckay(957)","77 in the current session","716 in the current session"
"216","Ron McKinnon","Liberal","/Members/en/ron-mckinnon(59293)","https://www.ourcommons.ca/Members/en/ron-mckinnon(59293)","11 in the current session","477 in the current session"
"217","Greg McLean","Conservative","/Members/en/greg-mclean(105623)","https://www.ourcommons.ca/Members/en/greg-mclean(105623)","129 in the current session","497 in the current session"
"218","Michael V. McLeod","Liberal","/Members/en/michael-v-mcleod(89374)","https://www.ourcommons.ca/Members/en/michael-v-mcleod(89374)","11 in the current session","61 in the current session"
"219","Heather McPherson","NDP","/Members/en/heather-mcpherson(105689)","https://www.ourcommons.ca/Members/en/heather-mcpherson(105689)","273 in the current session","515 in the current session"
"220","Eric Melillo","Conservative","/Members/en/eric-melillo(105186)","https://www.ourcommons.ca/Members/en/eric-melillo(105186)","105 in the current session","87 in the current session"
"221","Alexandra Mendès","Liberal","/Members/en/alexandra-mendes(58621)","https://www.ourcommons.ca/Members/en/alexandra-mendes(58621)","1941 in the current session","None in the current session"
"222","Marco Mendicino","Liberal","/Members/en/marco-mendicino(88738)","https://www.ourcommons.ca/Members/en/marco-mendicino(88738)","406 in the current session","424 in the current session"
"223","Wilson Miao","Liberal","/Members/en/wilson-miao(111048)","https://www.ourcommons.ca/Members/en/wilson-miao(111048)","16 in the current session","139 in the current session"
"224","Kristina Michaud","Bloc Québécois","/Members/en/kristina-michaud(104648)","https://www.ourcommons.ca/Members/en/kristina-michaud(104648)","242 in the current session","334 in the current session"
"225","Marc Miller","Liberal","/Members/en/marc-miller(88660)","https://www.ourcommons.ca/Members/en/marc-miller(88660)","79 in the current session","108 in the current session"
"226","Rob Moore","Conservative","/Members/en/rob-moore(17210)","https://www.ourcommons.ca/Members/en/rob-moore(17210)","78 in the current session","151 in the current session"
"227","Marty Morantz","Conservative","/Members/en/marty-morantz(105511)","https://www.ourcommons.ca/Members/en/marty-morantz(105511)","90 in the current session","365 in the current session"
"228","Mike Morrice","Green Party","/Members/en/mike-morrice(110476)","https://www.ourcommons.ca/Members/en/mike-morrice(110476)","286 in the current session","53 in the current session"
"229","Rob Morrison","Conservative","/Members/en/rob-morrison(105807)","https://www.ourcommons.ca/Members/en/rob-morrison(105807)","27 in the current session","70 in the current session"
"230","Robert J. Morrissey","Liberal","/Members/en/robert-j-morrissey(88308)","https://www.ourcommons.ca/Members/en/robert-j-morrissey(88308)","13 in the current session","1474 in the current session"
"231","Glen Motz","Conservative","/Members/en/glen-motz(94305)","https://www.ourcommons.ca/Members/en/glen-motz(94305)","62 in the current session","432 in the current session"
"232","Joyce Murray","Liberal","/Members/en/joyce-murray(35950)","https://www.ourcommons.ca/Members/en/joyce-murray(35950)","318 in the current session","132 in the current session"
"233","Dan Muys","Conservative","/Members/en/dan-muys(110415)","https://www.ourcommons.ca/Members/en/dan-muys(110415)","41 in the current session","80 in the current session"
"234","Yasir Naqvi","Liberal","/Members/en/yasir-naqvi(110572)","https://www.ourcommons.ca/Members/en/yasir-naqvi(110572)","100 in the current session","213 in the current session"
"235","John Nater","Conservative","/Members/en/john-nater(88917)","https://www.ourcommons.ca/Members/en/john-nater(88917)","130 in the current session","527 in the current session"
"236","Mary Ng","Liberal","/Members/en/mary-ng(96352)","https://www.ourcommons.ca/Members/en/mary-ng(96352)","88 in the current session","92 in the current session"
"237","Taleeb Noormohamed","Liberal","/Members/en/taleeb-noormohamed(72023)","https://www.ourcommons.ca/Members/en/taleeb-noormohamed(72023)","86 in the current session","198 in the current session"
"238","Christine Normandin","Bloc Québécois","/Members/en/christine-normandin(104947)","https://www.ourcommons.ca/Members/en/christine-normandin(104947)","195 in the current session","285 in the current session"
"239","Jennifer O'Connell","Liberal","/Members/en/jennifer-oconnell(88925)","https://www.ourcommons.ca/Members/en/jennifer-oconnell(88925)","63 in the current session","77 in the current session"
"240","Robert Oliphant","Liberal","/Members/en/robert-oliphant(58858)","https://www.ourcommons.ca/Members/en/robert-oliphant(58858)","87 in the current session","213 in the current session"
"241","Seamus O'Regan","Liberal","/Members/en/seamus-oregan(88299)","https://www.ourcommons.ca/Members/en/seamus-oregan(88299)","41 in the current session","89 in the current session"
"242","Erin O'Toole","Conservative","/Members/en/erin-otoole(72773)","https://www.ourcommons.ca/Members/en/erin-otoole(72773)","88 in the current session","23 in the current session"
"243","Jeremy Patzer","Conservative","/Members/en/jeremy-patzer(105559)","https://www.ourcommons.ca/Members/en/jeremy-patzer(105559)","116 in the current session","152 in the current session"
"244","Pierre Paul-Hus","Conservative","/Members/en/pierre-paul-hus(71454)","https://www.ourcommons.ca/Members/en/pierre-paul-hus(71454)","199 in the current session","251 in the current session"
"245","Monique Pauzé","Bloc Québécois","/Members/en/monique-pauze(88595)","https://www.ourcommons.ca/Members/en/monique-pauze(88595)","144 in the current session","287 in the current session"
"246","Rick Perkins","Conservative","/Members/en/rick-perkins(109922)","https://www.ourcommons.ca/Members/en/rick-perkins(109922)","176 in the current session","346 in the current session"
"247","Yves Perron","Bloc Québécois","/Members/en/yves-perron(88418)","https://www.ourcommons.ca/Members/en/yves-perron(88418)","251 in the current session","414 in the current session"
"248","Ginette Petitpas Taylor","Liberal","/Members/en/ginette-petitpas-taylor(88364)","https://www.ourcommons.ca/Members/en/ginette-petitpas-taylor(88364)","92 in the current session","49 in the current session"
"249","Louis Plamondon","Bloc Québécois","/Members/en/louis-plamondon(413)","https://www.ourcommons.ca/Members/en/louis-plamondon(413)","32 in the current session","None in the current session"
"250","Pierre Poilievre","Conservative","/Members/en/pierre-poilievre(25524)","https://www.ourcommons.ca/Members/en/pierre-poilievre(25524)","333 in the current session","415 in the current session"
"251","Marcus Powlowski","Liberal","/Members/en/marcus-powlowski(105437)","https://www.ourcommons.ca/Members/en/marcus-powlowski(105437)","22 in the current session","181 in the current session"
"252","Carla Qualtrough","Liberal","/Members/en/carla-qualtrough(89272)","https://www.ourcommons.ca/Members/en/carla-qualtrough(89272)","91 in the current session","56 in the current session"
"253","Alain Rayes","Independent","/Members/en/alain-rayes(88600)","https://www.ourcommons.ca/Members/en/alain-rayes(88600)","61 in the current session","None in the current session"
"254","Brad Redekopp","Conservative","/Members/en/brad-redekopp(105598)","https://www.ourcommons.ca/Members/en/brad-redekopp(105598)","82 in the current session","156 in the current session"
"255","Scott Reid","Conservative","/Members/en/scott-reid(1827)","https://www.ourcommons.ca/Members/en/scott-reid(1827)","59 in the current session","None in the current session"
"256","Michelle Rempel Garner","Conservative","/Members/en/michelle-rempel-garner(71902)","https://www.ourcommons.ca/Members/en/michelle-rempel-garner(71902)","122 in the current session","134 in the current session"
"257","Blake Richards","Conservative","/Members/en/blake-richards(59235)","https://www.ourcommons.ca/Members/en/blake-richards(59235)","57 in the current session","63 in the current session"
"258","Anna Roberts","Conservative","/Members/en/anna-roberts(105191)","https://www.ourcommons.ca/Members/en/anna-roberts(105191)","57 in the current session","63 in the current session"
"259","Yves Robillard","Liberal","/Members/en/yves-robillard(88617)","https://www.ourcommons.ca/Members/en/yves-robillard(88617)","7 in the current session","22 in the current session"
"260","Pablo Rodriguez","Liberal","/Members/en/pablo-rodriguez(25451)","https://www.ourcommons.ca/Members/en/pablo-rodriguez(25451)","98 in the current session","266 in the current session"
"261","Churence Rogers","Liberal","/Members/en/churence-rogers(98744)","https://www.ourcommons.ca/Members/en/churence-rogers(98744)","17 in the current session","137 in the current session"
"262","Sherry Romanado","Liberal","/Members/en/sherry-romanado(88521)","https://www.ourcommons.ca/Members/en/sherry-romanado(88521)","113 in the current session","83 in the current session"
"263","Lianne Rood","Conservative","/Members/en/lianne-rood(105210)","https://www.ourcommons.ca/Members/en/lianne-rood(105210)","59 in the current session","28 in the current session"
"264","Anthony Rota","Liberal","/Members/en/anthony-rota(25452)","https://www.ourcommons.ca/Members/en/anthony-rota(25452)","4664 in the current session","35 in the current session"
"265","Alex Ruff","Conservative","/Members/en/alex-ruff(105070)","https://www.ourcommons.ca/Members/en/alex-ruff(105070)","116 in the current session","204 in the current session"
"266","Ruby Sahota","Liberal","/Members/en/ruby-sahota(88698)","https://www.ourcommons.ca/Members/en/ruby-sahota(88698)","54 in the current session","105 in the current session"
"267","Harjit S. Sajjan","Liberal","/Members/en/harjit-s-sajjan(89497)","https://www.ourcommons.ca/Members/en/harjit-s-sajjan(89497)","36 in the current session","88 in the current session"
"268","Ya'ara Saks","Liberal","/Members/en/yaara-saks(107099)","https://www.ourcommons.ca/Members/en/yaara-saks(107099)","84 in the current session","175 in the current session"
"269","Darrell Samson","Liberal","/Members/en/darrell-samson(88333)","https://www.ourcommons.ca/Members/en/darrell-samson(88333)","103 in the current session","66 in the current session"
"270","Randeep Sarai","Liberal","/Members/en/randeep-sarai(89339)","https://www.ourcommons.ca/Members/en/randeep-sarai(89339)","63 in the current session","1016 in the current session"
"271","Simon-Pierre Savard-Tremblay","Bloc Québécois","/Members/en/simon-pierre-savard-tremblay(104944)","https://www.ourcommons.ca/Members/en/simon-pierre-savard-tremblay(104944)","153 in the current session","288 in the current session"
"272","Francis Scarpaleggia","Liberal","/Members/en/francis-scarpaleggia(25453)","https://www.ourcommons.ca/Members/en/francis-scarpaleggia(25453)","129 in the current session","980 in the current session"
"273","Andrew Scheer","Conservative","/Members/en/andrew-scheer(25454)","https://www.ourcommons.ca/Members/en/andrew-scheer(25454)","67 in the current session","56 in the current session"
"274","Peter Schiefke","Liberal","/Members/en/peter-schiefke(88649)","https://www.ourcommons.ca/Members/en/peter-schiefke(88649)","32 in the current session","751 in the current session"
"275","Jamie Schmale","Conservative","/Members/en/jamie-schmale(88770)","https://www.ourcommons.ca/Members/en/jamie-schmale(88770)","72 in the current session","170 in the current session"
"276","Kyle Seeback","Conservative","/Members/en/kyle-seeback(58841)","https://www.ourcommons.ca/Members/en/kyle-seeback(58841)","75 in the current session","217 in the current session"
"277","Marc G. Serré","Liberal","/Members/en/marc-g-serre(88874)","https://www.ourcommons.ca/Members/en/marc-g-serre(88874)","41 in the current session","109 in the current session"
"278","Judy A. Sgro","Liberal","/Members/en/judy-a-sgro(1787)","https://www.ourcommons.ca/Members/en/judy-a-sgro(1787)","75 in the current session","844 in the current session"
"279","Brenda Shanahan","Liberal","/Members/en/brenda-shanahan(88442)","https://www.ourcommons.ca/Members/en/brenda-shanahan(88442)","59 in the current session","103 in the current session"
"280","Terry Sheehan","Liberal","/Members/en/terry-sheehan(88944)","https://www.ourcommons.ca/Members/en/terry-sheehan(88944)","10 in the current session","80 in the current session"
"281","Martin Shields","Conservative","/Members/en/martin-shields(89109)","https://www.ourcommons.ca/Members/en/martin-shields(89109)","34 in the current session","143 in the current session"
"282","Doug Shipley","Conservative","/Members/en/doug-shipley(105031)","https://www.ourcommons.ca/Members/en/doug-shipley(105031)","20 in the current session","110 in the current session"
"283","Maninder Sidhu","Liberal","/Members/en/maninder-sidhu(105045)","https://www.ourcommons.ca/Members/en/maninder-sidhu(105045)","44 in the current session","67 in the current session"
"284","Sonia Sidhu","Liberal","/Members/en/sonia-sidhu(88703)","https://www.ourcommons.ca/Members/en/sonia-sidhu(88703)","37 in the current session","212 in the current session"
"285","Mario Simard","Bloc Québécois","/Members/en/mario-simard(104773)","https://www.ourcommons.ca/Members/en/mario-simard(104773)","201 in the current session","229 in the current session"
"286","Nathalie Sinclair-Desgagné","Bloc Québécois","/Members/en/nathalie-sinclair-desgagne(110300)","https://www.ourcommons.ca/Members/en/nathalie-sinclair-desgagne(110300)","76 in the current session","210 in the current session"
"287","Jagmeet Singh","NDP","/Members/en/jagmeet-singh(71588)","https://www.ourcommons.ca/Members/en/jagmeet-singh(71588)","231 in the current session","None in the current session"
"288","Clifford Small","Conservative","/Members/en/clifford-small(109867)","https://www.ourcommons.ca/Members/en/clifford-small(109867)","115 in the current session","163 in the current session"
"289","Francesco Sorbara","Liberal","/Members/en/francesco-sorbara(88999)","https://www.ourcommons.ca/Members/en/francesco-sorbara(88999)","187 in the current session","95 in the current session"
"290","Gerald Soroka","Conservative","/Members/en/gerald-soroka(105751)","https://www.ourcommons.ca/Members/en/gerald-soroka(105751)","54 in the current session","74 in the current session"
"291","Warren Steinley","Conservative","/Members/en/warren-steinley(105581)","https://www.ourcommons.ca/Members/en/warren-steinley(105581)","143 in the current session","64 in the current session"
"292","Gabriel Ste-Marie","Bloc Québécois","/Members/en/gabriel-ste-marie(88485)","https://www.ourcommons.ca/Members/en/gabriel-ste-marie(88485)","284 in the current session","614 in the current session"
"293","Jake Stewart","Conservative","/Members/en/jake-stewart(109951)","https://www.ourcommons.ca/Members/en/jake-stewart(109951)","92 in the current session","242 in the current session"
"294","Pascale St-Onge","Liberal","/Members/en/pascale-st-onge(110044)","https://www.ourcommons.ca/Members/en/pascale-st-onge(110044)","21 in the current session","72 in the current session"
"295","Mark Strahl","Conservative","/Members/en/mark-strahl(71986)","https://www.ourcommons.ca/Members/en/mark-strahl(71986)","32 in the current session","22 in the current session"
"296","Shannon Stubbs","Conservative","/Members/en/shannon-stubbs(89198)","https://www.ourcommons.ca/Members/en/shannon-stubbs(89198)","67 in the current session","32 in the current session"
"297","Jenna Sudds","Liberal","/Members/en/jenna-sudds(110459)","https://www.ourcommons.ca/Members/en/jenna-sudds(110459)","35 in the current session","72 in the current session"
"298","Filomena Tassi","Liberal","/Members/en/filomena-tassi(88784)","https://www.ourcommons.ca/Members/en/filomena-tassi(88784)","262 in the current session","106 in the current session"
"299","Leah Taylor Roy","Liberal","/Members/en/leah-taylor-roy(105024)","https://www.ourcommons.ca/Members/en/leah-taylor-roy(105024)","60 in the current session","182 in the current session"
"300","Luc Thériault","Bloc Québécois","/Members/en/luc-theriault(88552)","https://www.ourcommons.ca/Members/en/luc-theriault(88552)","130 in the current session","323 in the current session"
"301","Alain Therrien","Bloc Québécois","/Members/en/alain-therrien(104783)","https://www.ourcommons.ca/Members/en/alain-therrien(104783)","207 in the current session","141 in the current session"
"302","Rachael Thomas","Conservative","/Members/en/rachael-thomas(89200)","https://www.ourcommons.ca/Members/en/rachael-thomas(89200)","94 in the current session","427 in the current session"
"303","Joanne Thompson","Liberal","/Members/en/joanne-thompson(109877)","https://www.ourcommons.ca/Members/en/joanne-thompson(109877)","37 in the current session","208 in the current session"
"304","Corey Tochor","Conservative","/Members/en/corey-tochor(84882)","https://www.ourcommons.ca/Members/en/corey-tochor(84882)","22 in the current session","155 in the current session"
"305","Fraser Tolmie","Conservative","/Members/en/fraser-tolmie(110800)","https://www.ourcommons.ca/Members/en/fraser-tolmie(110800)","51 in the current session","76 in the current session"
"306","Justin Trudeau","Liberal","/Members/en/justin-trudeau(58733)","https://www.ourcommons.ca/Members/en/justin-trudeau(58733)","1027 in the current session","None in the current session"
"307","Denis Trudel","Bloc Québécois","/Members/en/denis-trudel(88530)","https://www.ourcommons.ca/Members/en/denis-trudel(88530)","215 in the current session","124 in the current session"
"308","Ryan Turnbull","Liberal","/Members/en/ryan-turnbull(105480)","https://www.ourcommons.ca/Members/en/ryan-turnbull(105480)","118 in the current session","241 in the current session"
"309","Tim Uppal","Conservative","/Members/en/tim-uppal(30645)","https://www.ourcommons.ca/Members/en/tim-uppal(30645)","31 in the current session","34 in the current session"
"310","Rechie Valdez","Liberal","/Members/en/rechie-valdez(110538)","https://www.ourcommons.ca/Members/en/rechie-valdez(110538)","40 in the current session","195 in the current session"
"311","Tony Van Bynen","Liberal","/Members/en/tony-van-bynen(105270)","https://www.ourcommons.ca/Members/en/tony-van-bynen(105270)","39 in the current session","111 in the current session"
"312","Adam van Koeverden","Liberal","/Members/en/adam-van-koeverden(105242)","https://www.ourcommons.ca/Members/en/adam-van-koeverden(105242)","218 in the current session","155 in the current session"
"313","Tako Van Popta","Conservative","/Members/en/tako-van-popta(105811)","https://www.ourcommons.ca/Members/en/tako-van-popta(105811)","99 in the current session","132 in the current session"
"314","Dan Vandal","Liberal","/Members/en/dan-vandal(89045)","https://www.ourcommons.ca/Members/en/dan-vandal(89045)","32 in the current session","12 in the current session"
"315","Anita Vandenbeld","Liberal","/Members/en/anita-vandenbeld(71738)","https://www.ourcommons.ca/Members/en/anita-vandenbeld(71738)","48 in the current session","116 in the current session"
"316","Karen Vecchio","Conservative","/Members/en/karen-vecchio(88742)","https://www.ourcommons.ca/Members/en/karen-vecchio(88742)","104 in the current session","980 in the current session"
"317","Gary Vidal","Conservative","/Members/en/gary-vidal(105562)","https://www.ourcommons.ca/Members/en/gary-vidal(105562)","57 in the current session","115 in the current session"
"318","Dominique Vien","Conservative","/Members/en/dominique-vien(110009)","https://www.ourcommons.ca/Members/en/dominique-vien(110009)","80 in the current session","194 in the current session"
"319","Arnold Viersen","Conservative","/Members/en/arnold-viersen(89211)","https://www.ourcommons.ca/Members/en/arnold-viersen(89211)","253 in the current session","85 in the current session"
"320","Julie Vignola","Bloc Québécois","/Members/en/julie-vignola(104656)","https://www.ourcommons.ca/Members/en/julie-vignola(104656)","239 in the current session","392 in the current session"
"321","René Villemure","Bloc Québécois","/Members/en/rene-villemure(110306)","https://www.ourcommons.ca/Members/en/rene-villemure(110306)","164 in the current session","561 in the current session"
"322","Arif Virani","Liberal","/Members/en/arif-virani(88910)","https://www.ourcommons.ca/Members/en/arif-virani(88910)","108 in the current session","345 in the current session"
"323","Brad Vis","Conservative","/Members/en/brad-vis(89289)","https://www.ourcommons.ca/Members/en/brad-vis(89289)","199 in the current session","160 in the current session"
"324","Kevin Vuong","Independent","/Members/en/kevin-vuong(110654)","https://www.ourcommons.ca/Members/en/kevin-vuong(110654)","83 in the current session","None in the current session"
"325","Cathay Wagantall","Conservative","/Members/en/cathay-wagantall(89098)","https://www.ourcommons.ca/Members/en/cathay-wagantall(89098)","87 in the current session","124 in the current session"
"326","Chris Warkentin","Conservative","/Members/en/chris-warkentin(35886)","https://www.ourcommons.ca/Members/en/chris-warkentin(35886)","24 in the current session","13 in the current session"
"327","Kevin Waugh","Conservative","/Members/en/kevin-waugh(89084)","https://www.ourcommons.ca/Members/en/kevin-waugh(89084)","41 in the current session","263 in the current session"
"328","Len Webber","Conservative","/Members/en/len-webber(89116)","https://www.ourcommons.ca/Members/en/len-webber(89116)","15 in the current session","None in the current session"
"329","Patrick Weiler","Liberal","/Members/en/patrick-weiler(105918)","https://www.ourcommons.ca/Members/en/patrick-weiler(105918)","62 in the current session","151 in the current session"
"330","Jonathan Wilkinson","Liberal","/Members/en/jonathan-wilkinson(89300)","https://www.ourcommons.ca/Members/en/jonathan-wilkinson(89300)","96 in the current session","192 in the current session"
"331","Ryan Williams","Conservative","/Members/en/ryan-williams(110330)","https://www.ourcommons.ca/Members/en/ryan-williams(110330)","83 in the current session","329 in the current session"
"332","John Williamson","Conservative","/Members/en/john-williamson(71323)","https://www.ourcommons.ca/Members/en/john-williamson(71323)","50 in the current session","418 in the current session"
"333","Jean Yip","Liberal","/Members/en/jean-yip(98747)","https://www.ourcommons.ca/Members/en/jean-yip(98747)","22 in the current session","175 in the current session"
"334","Salma Zahid","Liberal","/Members/en/salma-zahid(88950)","https://www.ourcommons.ca/Members/en/salma-zahid(88950)","50 in the current session","1121 in the current session"
"335","Bonita Zarrillo","NDP","/Members/en/bonita-zarrillo(105837)","https://www.ourcommons.ca/Members/en/bonita-zarrillo(105837)","176 in the current session","312 in the current session"
"336","Bob Zimmer","Conservative","/Members/en/bob-zimmer(72035)","https://www.ourcommons.ca/Members/en/bob-zimmer(72035)","122 in the current session","168 in the current session"
"337","Sameer Zuberi","Liberal","/Members/en/sameer-zuberi(54157)","https://www.ourcommons.ca/Members/en/sameer-zuberi(54157)","26 in the current session","318 in the current session"
